,AAPL,GOOG,MSFT
2025-06-11 13:30:00+00:00,203.07000732421875,,470.6000061035156
2025-06-11 13:31:00+00:00,203.05499267578125,,470.57000732421875
2025-06-11 13:32:00+00:00,203.22500610351562,,470.489990234375
2025-06-11 13:33:00+00:00,203.6999969482422,,470.67999267578125
2025-06-11 13:34:00+00:00,203.98500061035156,,470.67999267578125
2025-06-11 13:35:00+00:00,204.13999938964844,,471.05999755859375
2025-06-11 13:36:00+00:00,204.45919799804688,,471.6000061035156
2025-06-11 13:37:00+00:00,203.82000732421875,,471.57000732421875
2025-06-11 13:38:00+00:00,203.3300018310547,,471.8800048828125
2025-06-11 13:39:00+00:00,203.25,,471.9049987792969
2025-06-11 13:40:00+00:00,202.97999572753906,,472.0199890136719
2025-06-11 13:41:00+00:00,202.74000549316406,,472.42498779296875
2025-06-11 13:42:00+00:00,202.74290466308594,,472.3525085449219
2025-06-11 13:43:00+00:00,202.75999450683594,,472.44000244140625
2025-06-11 13:44:00+00:00,202.72999572753906,,472.42999267578125
2025-06-11 13:45:00+00:00,202.99729919433594,,472.8599853515625
2025-06-11 13:46:00+00:00,202.7075958251953,,472.3500061035156
2025-06-11 13:47:00+00:00,202.72999572753906,,471.989990234375
2025-06-11 13:48:00+00:00,202.6999969482422,,472.2650146484375
2025-06-11 13:49:00+00:00,202.6199951171875,,472.5799865722656
2025-06-11 13:50:00+00:00,202.52999877929688,,472.4599914550781
2025-06-11 13:51:00+00:00,202.74000549316406,,473.2749938964844
2025-06-11 13:52:00+00:00,202.8300018310547,,473.17999267578125
2025-06-11 13:53:00+00:00,202.95010375976562,,473.1499938964844
2025-06-11 13:54:00+00:00,202.7333984375,,472.9949951171875
2025-06-11 13:55:00+00:00,202.8800048828125,,473.20001220703125
2025-06-11 13:56:00+00:00,202.8300018310547,,473.1199951171875
2025-06-11 13:57:00+00:00,202.78160095214844,,473.0150146484375
2025-06-11 13:58:00+00:00,202.86000061035156,,473.05999755859375
2025-06-11 13:59:00+00:00,202.7801055908203,,473.0799865722656
2025-06-11 14:00:00+00:00,202.9600067138672,,472.885009765625
2025-06-11 14:01:00+00:00,202.89999389648438,,473.05609130859375
2025-06-11 14:02:00+00:00,202.7949981689453,,472.6499938964844
2025-06-11 14:03:00+00:00,202.58999633789062,,472.94000244140625
2025-06-11 14:04:00+00:00,202.6699981689453,,473.0
2025-06-11 14:05:00+00:00,202.77999877929688,,473.19500732421875
2025-06-11 14:06:00+00:00,202.7740936279297,,473.30999755859375
2025-06-11 14:07:00+00:00,202.5240020751953,,473.2250061035156
2025-06-11 14:08:00+00:00,202.43600463867188,,473.07000732421875
2025-06-11 14:09:00+00:00,202.57000732421875,,473.3450012207031
2025-06-11 14:10:00+00:00,202.7100067138672,,473.44000244140625
2025-06-11 14:11:00+00:00,202.53500366210938,,473.5950012207031
2025-06-11 14:12:00+00:00,202.6699981689453,,473.8399963378906
2025-06-11 14:13:00+00:00,202.8238983154297,,473.82000732421875
2025-06-11 14:14:00+00:00,202.76499938964844,,473.8550109863281
2025-06-11 14:15:00+00:00,202.72999572753906,,473.9700012207031
2025-06-11 14:16:00+00:00,202.64999389648438,,473.864990234375
2025-06-11 14:17:00+00:00,202.49000549316406,,473.8599853515625
2025-06-11 14:18:00+00:00,202.5196990966797,,474.1000061035156
2025-06-11 14:19:00+00:00,202.58999633789062,,474.19000244140625
2025-06-11 14:20:00+00:00,202.69000244140625,,474.2099914550781
2025-06-11 14:21:00+00:00,202.75999450683594,,474.5199890136719
2025-06-11 14:22:00+00:00,202.71499633789062,,474.7449951171875
2025-06-11 14:23:00+00:00,202.72999572753906,,474.5899963378906
2025-06-11 14:24:00+00:00,202.77999877929688,,474.7200012207031
2025-06-11 14:25:00+00:00,202.76080322265625,,474.8399963378906
2025-06-11 14:26:00+00:00,202.8699951171875,,474.67999267578125
2025-06-11 14:27:00+00:00,202.97999572753906,,474.80999755859375
2025-06-11 14:28:00+00:00,202.83619689941406,,474.6449890136719
2025-06-11 14:29:00+00:00,202.76010131835938,,474.6698913574219
2025-06-11 14:30:00+00:00,202.70350646972656,,474.63250732421875
2025-06-11 14:31:00+00:00,202.58999633789062,,474.6400146484375
2025-06-11 14:32:00+00:00,202.72999572753906,,474.6199951171875
2025-06-11 14:33:00+00:00,202.6300048828125,,474.5014953613281
2025-06-11 14:34:00+00:00,202.63999938964844,,474.6650085449219
2025-06-11 14:35:00+00:00,202.72999572753906,,474.42498779296875
2025-06-11 14:36:00+00:00,202.77000427246094,,474.885009765625
2025-06-11 14:37:00+00:00,202.50100708007812,,474.7799987792969
2025-06-11 14:38:00+00:00,202.48289489746094,,475.30499267578125
2025-06-11 14:39:00+00:00,202.38999938964844,,475.1600036621094
2025-06-11 14:40:00+00:00,202.3188934326172,,475.1700134277344
2025-06-11 14:41:00+00:00,202.1999969482422,,475.3900146484375
2025-06-11 14:42:00+00:00,202.0290069580078,,475.0400085449219
2025-06-11 14:43:00+00:00,202.0050048828125,,475.0899963378906
2025-06-11 14:44:00+00:00,202.03770446777344,,475.4200134277344
2025-06-11 14:45:00+00:00,202.22999572753906,,474.9049987792969
2025-06-11 14:46:00+00:00,202.2198944091797,,474.85479736328125
2025-06-11 14:47:00+00:00,202.0308074951172,,474.760009765625
2025-06-11 14:48:00+00:00,202.07000732421875,,474.82000732421875
2025-06-11 14:49:00+00:00,202.07989501953125,,474.6600036621094
2025-06-11 14:50:00+00:00,202.08999633789062,,474.44500732421875
2025-06-11 14:51:00+00:00,202.17539978027344,,474.6499938964844
2025-06-11 14:52:00+00:00,202.16990661621094,,474.739990234375
2025-06-11 14:53:00+00:00,202.1300048828125,,474.760009765625
2025-06-11 14:54:00+00:00,202.07989501953125,,474.6000061035156
2025-06-11 14:55:00+00:00,,,474.5400085449219
2025-06-11 14:56:00+00:00,202.29269409179688,,474.81500244140625
2025-06-11 14:57:00+00:00,202.3300018310547,,475.1138000488281
2025-06-11 14:58:00+00:00,,,474.9599914550781
2025-06-11 14:59:00+00:00,202.1898956298828,,474.9599914550781
2025-06-11 15:00:00+00:00,,,474.8900146484375
2025-06-11 15:01:00+00:00,202.0800018310547,,474.95001220703125
2025-06-11 15:02:00+00:00,202.00999450683594,,475.0450134277344
2025-06-11 15:03:00+00:00,201.99989318847656,,475.1400146484375
2025-06-11 15:04:00+00:00,201.9552001953125,,475.18499755859375
2025-06-11 15:05:00+00:00,201.8800048828125,,475.0799865722656
2025-06-11 15:06:00+00:00,201.9499969482422,,475.0799865722656
2025-06-11 15:07:00+00:00,201.68649291992188,,474.8900146484375
2025-06-11 15:08:00+00:00,201.55880737304688,,474.5295104980469
2025-06-11 15:09:00+00:00,,,474.31500244140625
2025-06-11 15:10:00+00:00,201.27000427246094,,474.6400146484375
2025-06-11 15:11:00+00:00,201.418701171875,,
2025-06-11 15:12:00+00:00,201.1486053466797,,474.70111083984375
