,AAPL,GOOG,MSFT
2025-10-09 13:31:00+00:00,,244.58999633789062,524.2849731445312
2025-10-09 13:34:00+00:00,,244.85000610351562,
2025-10-09 13:35:00+00:00,,,523.02001953125
2025-10-09 13:40:00+00:00,,244.6999969482422,
2025-10-09 13:42:00+00:00,,244.25,
2025-10-09 13:46:00+00:00,,243.47999572753906,521.3200073242188
2025-10-09 13:48:00+00:00,,243.0749969482422,521.6500244140625
2025-10-09 13:49:00+00:00,,243.08999633789062,521.7000122070312
2025-10-09 13:52:00+00:00,,243.52000427246094,520.739990234375
2025-10-09 13:53:00+00:00,,243.54930114746094,520.0
2025-10-09 13:54:00+00:00,,,520.135009765625
2025-10-09 13:58:00+00:00,,243.61500549316406,521.75
2025-10-09 13:59:00+00:00,,243.59500122070312,
2025-10-09 14:08:00+00:00,,242.92999267578125,
2025-10-09 14:13:00+00:00,,242.1699981689453,522.4799194335938
2025-10-09 14:14:00+00:00,,242.1800994873047,522.4000854492188
2025-10-09 14:19:00+00:00,,242.41000366210938,
2025-10-09 14:32:00+00:00,,241.36000061035156,522.0499877929688
2025-10-09 14:34:00+00:00,,241.1699981689453,521.739990234375
2025-10-09 14:43:00+00:00,,,522.3499755859375
2025-10-09 14:46:00+00:00,,240.9949951171875,
2025-10-09 14:47:00+00:00,,240.47000122070312,521.7999877929688
2025-10-09 14:48:00+00:00,,240.39999389648438,521.8099975585938
2025-10-09 14:51:00+00:00,,,521.6699829101562
2025-10-09 14:53:00+00:00,,241.0095977783203,
2025-10-09 14:58:00+00:00,,,521.5800170898438
2025-10-09 15:00:00+00:00,,240.6699981689453,521.89501953125
2025-10-09 15:07:00+00:00,,240.5500030517578,520.8099975585938
2025-10-09 15:08:00+00:00,,240.46499633789062,
2025-10-09 15:28:00+00:00,,,519.9450073242188
2025-10-09 15:29:00+00:00,,,519.5700073242188
2025-10-09 15:33:00+00:00,,240.2100067138672,519.1928100585938
2025-10-09 15:34:00+00:00,,240.19000244140625,519.219970703125
2025-10-09 15:37:00+00:00,,239.87399291992188,518.4600219726562
2025-10-09 15:41:00+00:00,,,518.7200927734375
2025-10-09 15:44:00+00:00,,,518.72998046875
2025-10-09 15:50:00+00:00,,241.63800048828125,
2025-10-09 15:53:00+00:00,,241.83999633789062,519.8099975585938
2025-10-09 15:54:00+00:00,,,519.8300170898438
