Datetime,AAPL,GOOG,MSFT
2026-06-02 09:30:00-04:00,308.3500061035156,360.3949890136719,450.3800048828125
2026-06-02 09:31:00-04:00,308.9200134277344,359.4643859863281,450.6600036621094
2026-06-02 09:32:00-04:00,309.4100036621094,357.7699890136719,451.1400146484375
2026-06-02 09:33:00-04:00,309.8190002441406,358.0539855957031,450.7650146484375
2026-06-02 09:34:00-04:00,309.654296875,357.9049987792969,448.4200134277344
2026-06-02 09:35:00-04:00,309.1600036621094,357.9649963378906,449.4800109863281
2026-06-02 09:36:00-04:00,309.1199951171875,358.10418701171875,448.7799987792969
2026-06-02 09:37:00-04:00,308.3492126464844,357.010009765625,448.0799865722656
2026-06-02 09:38:00-04:00,308.5199890136719,357.1000061035156,446.7659912109375
2026-06-02 09:39:00-04:00,308.57000732421875,356.6000061035156,446.4100036621094
2026-06-02 09:40:00-04:00,308.53009033203125,355.8125915527344,445.1099853515625
2026-06-02 09:41:00-04:00,308.864990234375,356.3223876953125,445.0849914550781
2026-06-02 09:42:00-04:00,309.07501220703125,355.6700134277344,444.3550109863281
2026-06-02 09:43:00-04:00,309.0899963378906,356.0199890136719,445.70001220703125
2026-06-02 09:44:00-04:00,309.1199951171875,356.67999267578125,446.2200012207031
2026-06-02 09:45:00-04:00,308.6789855957031,356.114990234375,445.45001220703125
2026-06-02 09:46:00-04:00,308.5150146484375,356.4700012207031,445.54998779296875
2026-06-02 09:47:00-04:00,308.7699890136719,357.4100036621094,446.1499938964844
2026-06-02 09:48:00-04:00,309.02899169921875,357.6050109863281,445.9800109863281
2026-06-02 09:49:00-04:00,309.0199890136719,358.25,446.6400146484375
2026-06-02 09:50:00-04:00,308.9410095214844,358.3399963378906,446.6199951171875
2026-06-02 09:51:00-04:00,308.54998779296875,358.05999755859375,446.2149963378906
2026-06-02 09:52:00-04:00,308.4800109863281,358.1000061035156,446.6300964355469
2026-06-02 09:53:00-04:00,309.0050048828125,359.0799865722656,445.0299987792969
2026-06-02 09:54:00-04:00,309.010009765625,359.5350036621094,445.0400085449219
2026-06-02 09:55:00-04:00,309.010009765625,359.0849914550781,443.8046875
2026-06-02 09:56:00-04:00,309.114990234375,359.8374938964844,444.614990234375
2026-06-02 09:57:00-04:00,309.260009765625,359.94000244140625,443.9967041015625
2026-06-02 09:58:00-04:00,309.0799865722656,359.7992858886719,443.8724060058594
2026-06-02 09:59:00-04:00,309.07000732421875,360.29998779296875,445.1199951171875
2026-06-02 10:00:00-04:00,309.0799865722656,360.2049865722656,445.1499938964844
2026-06-02 10:01:00-04:00,308.79998779296875,360.4036865234375,445.0899963378906
2026-06-02 10:02:00-04:00,308.9902038574219,361.30499267578125,445.44500732421875
